               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.026314,            0.010386,                   0,             0.83166,             0.88816,             0.87806,             0.59983,           0.0069138,          0.00044161,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.025494,            0.010363,                   0,             0.85101,             0.89474,             0.88426,             0.59238,           0.0070105,          0.00044195,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.025534,            0.010202,                   0,             0.87107,             0.84452,             0.87491,             0.59424,           0.0069742,          0.00045671,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.025466,            0.010228,                   0,              0.8654,             0.85526,             0.87869,              0.5898,           0.0069802,          0.00046555,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.025274,           0.0099279,                   0,             0.84031,             0.86842,             0.89158,             0.59586,           0.0069689,          0.00052741,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.025498,           0.0099761,                   0,             0.82763,             0.85526,             0.88065,             0.59505,           0.0070499,           0.0004842,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.024781,           0.0099848,                   0,             0.88335,             0.83553,             0.88628,             0.59394,           0.0069769,          0.00049166,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.024933,           0.0099778,                   0,             0.89753,             0.81579,             0.88446,             0.59224,           0.0068386,          0.00044091,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.02479,           0.0098379,                   0,             0.86755,             0.86182,             0.88354,             0.59555,           0.0069383,          0.00042535,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.024599,            0.010067,                   0,             0.87777,             0.86184,              0.8812,             0.60394,            0.006839,          0.00042863,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.024447,           0.0099521,                   0,              0.8356,             0.88816,             0.87503,             0.59254,           0.0070571,          0.00045144,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.024374,           0.0099386,                   0,             0.86115,             0.83553,             0.86705,             0.58252,           0.0071038,          0.00048478,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.02447,           0.0096973,                   0,              0.8324,             0.86184,             0.86767,             0.57371,            0.007203,          0.00052254,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.024126,            0.009744,                   0,             0.88882,             0.86842,             0.88332,             0.57823,           0.0070285,          0.00047801,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.024081,            0.009642,                   0,              0.8696,             0.87745,             0.89009,             0.58281,           0.0073211,          0.00044778,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.023606,           0.0099216,                   0,             0.86515,             0.86842,             0.88944,             0.58498,             0.00711,          0.00043978,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.024142,           0.0097783,                   0,             0.85498,             0.85333,             0.87895,             0.59529,            0.007036,          0.00043519,                   0,            0.001981,            0.001981,            0.001981
